Parent SKU,Child SKU,Title,Price,Description,Weight Value,Weight Unit,Length,Width,Height,Unit,Images [ ],Attribute 1 Name,Attribute 1 Value,Attribute 2 Name,Attribute 2 Value,Attribute 3 Name,Attribute 3 Value,Attribute 4 Name,Attribute 4 Value,Attribute 5 Name,Attribute 5 Value,Attribute 6 Name,Attribute 6 Value,Attribute 7 Name,Attribute 7 Value
12020008,1202000800101170302000015002,,9.5,,,,,,,,,Materyal,Gümüş,Uç Seçeneği,1,Zincir Tipi,40 Doç Zincir,Taş Tipi,Damla 7x5,Taş Adedi,2,Size,"7""",Color,Rose
12020008,1202000800101170302000015003,,9.5,,,,,,,,,Materyal,Gümüş,Uç Seçeneği,1,Zincir Tipi,40 Doç Zincir,Taş Tipi,Damla 7x5,Taş Adedi,2,Size,"7""",Color,Gold
12020008,1202000800101170302000017101,,9.5,,,,,,,,,Materyal,Gümüş,Uç Seçeneği,1,Zincir Tipi,40 Doç Zincir,Taş Tipi,Damla 7x5,Taş Adedi,2,Size,"8""+1.5""",Color,Silver
12020008,1202000800101170302000017102,,9.5,,,,,,,,,Materyal,Gümüş,Uç Seçeneği,1,Zincir Tipi,40 Doç Zincir,Taş Tipi,Damla 7x5,Taş Adedi,2,Size,"8""+1.5""",Color,Rose
12020008,1202000800101170302000017103,,9.5,,,,,,,,,Materyal,Gümüş,Uç Seçeneği,1,Zincir Tipi,40 Doç Zincir,Taş Tipi,Damla 7x5,Taş Adedi,2,Size,"8""+1.5""",Color,Gold
12020008,1202000800101170302000017001,,9.5,,,,,,,,,Materyal,Gümüş,Uç Seçeneği,1,Zincir Tipi,40 Doç Zincir,Taş Tipi,Damla 7x5,Taş Adedi,2,Size,"8""",Color,Silver
12020008,1202000800101170302000017002,,9.5,,,,,,,,,Materyal,Gümüş,Uç Seçeneği,1,Zincir Tipi,40 Doç Zincir,Taş Tipi,Damla 7x5,Taş Adedi,2,Size,"8""",Color,Rose
12020008,1202000800101170302000017003,,9.5,,,,,,,,,Materyal,Gümüş,Uç Seçeneği,1,Zincir Tipi,40 Doç Zincir,Taş Tipi,Damla 7x5,Taş Adedi,2,Size,"8""",Color,Gold
12020008,1202000800101170302000019101,,9.5,,,,,,,,,Materyal,Gümüş,Uç Seçeneği,1,Zincir Tipi,40 Doç Zincir,Taş Tipi,Damla 7x5,Taş Adedi,2,Size,"9""+1.5""",Color,Silver
12020008,1202000800101170302000019102,,9.5,,,,,,,,,Materyal,Gümüş,Uç Seçeneği,1,Zincir Tipi,40 Doç Zincir,Taş Tipi,Damla 7x5,Taş Adedi,2,Size,"9""+1.5""",Color,Rose
12020008,1202000800101170302000019103,,9.5,,,,,,,,,Materyal,Gümüş,Uç Seçeneği,1,Zincir Tipi,40 Doç Zincir,Taş Tipi,Damla 7x5,Taş Adedi,2,Size,"9""+1.5""",Color,Gold
12020008,1202000800101170302000019001,,9.5,,,,,,,,,Materyal,Gümüş,Uç Seçeneği,1,Zincir Tipi,40 Doç Zincir,Taş Tipi,Damla 7x5,Taş Adedi,2,Size,"9""",Color,Silver
12020008,1202000800101170302000019002,,9.5,,,,,,,,,Materyal,Gümüş,Uç Seçeneği,1,Zincir Tipi,40 Doç Zincir,Taş Tipi,Damla 7x5,Taş Adedi,2,Size,"9""",Color,Rose
12020008,1202000800101170302000019003,,9.5,,,,,,,,,Materyal,Gümüş,Uç Seçeneği,1,Zincir Tipi,40 Doç Zincir,Taş Tipi,Damla 7x5,Taş Adedi,2,Size,"9""",Color,Gold
12020008,1202000800101170303000009101,,11.5,,,,,,,,,Materyal,Gümüş,Uç Seçeneği,1,Zincir Tipi,40 Doç Zincir,Taş Tipi,Damla 7x5,Taş Adedi,3,Size,"4""+1.5""",Color,Silver
12020008,1202000800101170303000009102,,11.5,,,,,,,,,Materyal,Gümüş,Uç Seçeneği,1,Zincir Tipi,40 Doç Zincir,Taş Tipi,Damla 7x5,Taş Adedi,3,Size,"4""+1.5""",Color,Rose
12020008,1202000800101170303000009103,,11.5,,,,,,,,,Materyal,Gümüş,Uç Seçeneği,1,Zincir Tipi,40 Doç Zincir,Taş Tipi,Damla 7x5,Taş Adedi,3,Size,"4""+1.5""",Color,Gold
12020008,1202000800101170303000009001,,11.5,,,,,,,,,Materyal,Gümüş,Uç Seçeneği,1,Zincir Tipi,40 Doç Zincir,Taş Tipi,Damla 7x5,Taş Adedi,3,Size,"4""",Color,Silver
12020008,1202000800101170303000009002,,11.5,,,,,,,,,Materyal,Gümüş,Uç Seçeneği,1,Zincir Tipi,40 Doç Zincir,Taş Tipi,Damla 7x5,Taş Adedi,3,Size,"4""",Color,Rose
12020008,1202000800101170303000009003,,11.5,,,,,,,,,Materyal,Gümüş,Uç Seçeneği,1,Zincir Tipi,40 Doç Zincir,Taş Tipi,Damla 7x5,Taş Adedi,3,Size,"4""",Color,Gold
12020008,1202000800101170303000011101,,11.5,,,,,,,,,Materyal,Gümüş,Uç Seçeneği,1,Zincir Tipi,40 Doç Zincir,Taş Tipi,Damla 7x5,Taş Adedi,3,Size,"5""+1.5""",Color,Silver
12020008,1202000800101170303000011102,,11.5,,,,,,,,,Materyal,Gümüş,Uç Seçeneği,1,Zincir Tipi,40 Doç Zincir,Taş Tipi,Damla 7x5,Taş Adedi,3,Size,"5""+1.5""",Color,Rose
12020008,1202000800101170303000011103,,11.5,,,,,,,,,Materyal,Gümüş,Uç Seçeneği,1,Zincir Tipi,40 Doç Zincir,Taş Tipi,Damla 7x5,Taş Adedi,3,Size,"5""+1.5""",Color,Gold
12020008,1202000800101170303000011001,,11.5,,,,,,,,,Materyal,Gümüş,Uç Seçeneği,1,Zincir Tipi,40 Doç Zincir,Taş Tipi,Damla 7x5,Taş Adedi,3,Size,"5""",Color,Silver
12020008,1202000800101170303000011002,,11.5,,,,,,,,,Materyal,Gümüş,Uç Seçeneği,1,Zincir Tipi,40 Doç Zincir,Taş Tipi,Damla 7x5,Taş Adedi,3,Size,"5""",Color,Rose
12020008,1202000800101170303000011003,,11.5,,,,,,,,,Materyal,Gümüş,Uç Seçeneği,1,Zincir Tipi,40 Doç Zincir,Taş Tipi,Damla 7x5,Taş Adedi,3,Size,"5""",Color,Gold
12020008,1202000800101170303000013101,,11.5,,,,,,,,,Materyal,Gümüş,Uç Seçeneği,1,Zincir Tipi,40 Doç Zincir,Taş Tipi,Damla 7x5,Taş Adedi,3,Size,"6""+1.5""",Color,Silver
12020008,1202000800101170303000013102,,11.5,,,,,,,,,Materyal,Gümüş,Uç Seçeneği,1,Zincir Tipi,40 Doç Zincir,Taş Tipi,Damla 7x5,Taş Adedi,3,Size,"6""+1.5""",Color,Rose
12020008,1202000800101170303000013103,,11.5,,,,,,,,,Materyal,Gümüş,Uç Seçeneği,1,Zincir Tipi,40 Doç Zincir,Taş Tipi,Damla 7x5,Taş Adedi,3,Size,"6""+1.5""",Color,Gold
12020008,1202000800101170303000013001,,11.5,,,,,,,,,Materyal,Gümüş,Uç Seçeneği,1,Zincir Tipi,40 Doç Zincir,Taş Tipi,Damla 7x5,Taş Adedi,3,Size,"6""",Color,Silver
12020008,1202000800101170303000013002,,11.5,,,,,,,,,Materyal,Gümüş,Uç Seçeneği,1,Zincir Tipi,40 Doç Zincir,Taş Tipi,Damla 7x5,Taş Adedi,3,Size,"6""",Color,Rose
12020008,1202000800101170303000013003,,11.5,,,,,,,,,Materyal,Gümüş,Uç Seçeneği,1,Zincir Tipi,40 Doç Zincir,Taş Tipi,Damla 7x5,Taş Adedi,3,Size,"6""",Color,Gold
12020008,1202000800101170303000015101,,11.5,,,,,,,,,Materyal,Gümüş,Uç Seçeneği,1,Zincir Tipi,40 Doç Zincir,Taş Tipi,Damla 7x5,Taş Adedi,3,Size,"7""+1.5""",Color,Silver
12020008,1202000800101170303000015102,,11.5,,,,,,,,,Materyal,Gümüş,Uç Seçeneği,1,Zincir Tipi,40 Doç Zincir,Taş Tipi,Damla 7x5,Taş Adedi,3,Size,"7""+1.5""",Color,Rose
12020008,1202000800101170303000015103,,11.5,,,,,,,,,Materyal,Gümüş,Uç Seçeneği,1,Zincir Tipi,40 Doç Zincir,Taş Tipi,Damla 7x5,Taş Adedi,3,Size,"7""+1.5""",Color,Gold
12020008,1202000800101170303000015001,,11.5,,,,,,,,,Materyal,Gümüş,Uç Seçeneği,1,Zincir Tipi,40 Doç Zincir,Taş Tipi,Damla 7x5,Taş Adedi,3,Size,"7""",Color,Silver
